"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","386","TC009 - Should fail with XSS attempt in token","api-automation-tests","2026-02-05","passed","2026-02-05","Logout API - Negative Test Cases","Logout.test.ts","",""
"","247","TC014 - Should fail with missing email field","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Negative Test Cases","Login.test.ts","",""
"","419","TC007 - Should fail with non-existent email","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Negative Test Cases","Login.test.ts","",""
"","455","TC010 - Should fail with empty password","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Negative Test Cases","Login.test.ts","",""
"","932","TC002 - Should login successfully with valid client credentials","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Positive Test Cases","Login.test.ts","",""
"","260","TC006 - Should fail with malformed token","api-automation-tests","2026-02-05","passed","2026-02-05","Logout API - Negative Test Cases","Logout.test.ts","",""
"","287","TC008 - Should fail with invalid email format","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Negative Test Cases","Login.test.ts","",""
"","1210","TC003 - Should return access token in correct format","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Positive Test Cases","Login.test.ts","",""
"","733","TC005 - Should handle case-sensitive email correctly","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Positive Test Cases","Login.test.ts","",""
"","1578","TC003 - Should respond within acceptable time limit","api-automation-tests","2026-02-05","passed","2026-02-05","Logout API - Positive Test Cases","Logout.test.ts","",""
"","486","TC017 - Should fail with extremely long email","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Negative Test Cases","Login.test.ts","",""
"","298","TC012 - Should handle SQL injection attempt safely","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Negative Test Cases","Login.test.ts","",""
"","256","TC005 - Should fail with empty token","api-automation-tests","2026-02-05","passed","2026-02-05","Logout API - Negative Test Cases","Logout.test.ts","",""
"","546","TC018 - Should fail with extremely long password","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Negative Test Cases","Login.test.ts","",""
"","255","TC007 - Should fail with expired token","api-automation-tests","2026-02-05","passed","2026-02-05","Logout API - Negative Test Cases","Logout.test.ts","",""
"","2322","TC001 - Should logout successfully with valid token","api-automation-tests","2026-02-05","passed","2026-02-05","Logout API - Positive Test Cases","Logout.test.ts","",""
"","603","TC019 - Should respond within acceptable time limit","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Performance Test Cases","Login.test.ts","",""
"","1385","TC010 - Should handle multiple logout requests","api-automation-tests","2026-02-05","passed","2026-02-05","Logout API - Performance Test Cases","Logout.test.ts","",""
"","277","TC011 - Should fail with both fields empty","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Negative Test Cases","Login.test.ts","",""
"","257","TC015 - Should fail with missing password field","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Negative Test Cases","Login.test.ts","",""
"","621","TC006 - Should fail with wrong password","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Negative Test Cases","Login.test.ts","",""
"","489","TC016 - Should fail with whitespace-only password","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Negative Test Cases","Login.test.ts","",""
"","1209","TC004 - Should set authentication token after successful login","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Positive Test Cases","Login.test.ts","",""
"","334","TC004 - Should fail with invalid token","api-automation-tests","2026-02-05","passed","2026-02-05","Logout API - Negative Test Cases","Logout.test.ts","",""
"","1914","TC020 - Should handle concurrent login requests","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Performance Test Cases","Login.test.ts","",""
"","1963","TC002 - Should logout and invalidate token","api-automation-tests","2026-02-05","passed","2026-02-05","Logout API - Positive Test Cases","Logout.test.ts","",""
"","288","TC013 - Should handle XSS attempt safely","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Negative Test Cases","Login.test.ts","",""
"","1823","TC001 - Should login successfully with valid admin credentials","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Positive Test Cases","Login.test.ts","",""
"","365","TC008 - Should fail with SQL injection in token","api-automation-tests","2026-02-05","passed","2026-02-05","Logout API - Negative Test Cases","Logout.test.ts","",""
"","256","TC009 - Should fail with empty email","api-automation-tests","2026-02-05","passed","2026-02-05","Login API - Negative Test Cases","Login.test.ts","",""
